"filename", "language", "JavaScript", "JSON", "CSS", "JavaScript React", "comment", "blank", "total"
"g:\React\React Cwiczenia\reactcwiczenia\server\db\conn.js", "JavaScript", 21, 0, 0, 0, 1, 3, 25
"g:\React\React Cwiczenia\reactcwiczenia\server\models\transaction.model.js", "JavaScript", 23, 0, 0, 0, 0, 4, 27
"g:\React\React Cwiczenia\reactcwiczenia\server\models\user.model.js", "JavaScript", 31, 0, 0, 0, 0, 4, 35
"g:\React\React Cwiczenia\reactcwiczenia\server\package-lock.json", "JSON", 0, 1286, 0, 0, 0, 1, 1287
"g:\React\React Cwiczenia\reactcwiczenia\server\package.json", "JSON", 0, 18, 0, 0, 0, 1, 19
"g:\React\React Cwiczenia\reactcwiczenia\server\routes\record.js", "JavaScript", 64, 0, 0, 0, 10, 10, 84
"g:\React\React Cwiczenia\reactcwiczenia\server\server.js", "JavaScript", 264, 0, 0, 0, 5, 26, 295
"g:\React\React Cwiczenia\reactcwiczenia\src\App.css", "CSS", 0, 0, -64, 0, -38, -10, -112
"g:\React\React Cwiczenia\reactcwiczenia\src\App.js", "JavaScript", -14, 0, 0, 0, -1, -3, -18
"g:\React\React Cwiczenia\reactcwiczenia\src\Footer\Footer\Footer.css", "CSS", 0, 0, -13, 0, 0, -1, -14
"g:\React\React Cwiczenia\reactcwiczenia\src\Footer\Footer\Footer.jsx", "JavaScript React", 0, 0, 0, -12, 0, -3, -15
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Login\BeautifulLogin.css", "CSS", 0, 0, -112, 0, 0, -14, -126
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Login\BeautifulLogin.jsx", "JavaScript React", 0, 0, 0, -59, -1, -7, -67
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Menu\Hamburger\Hamburger.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Menu\Hamburger\Hamburger.jsx", "JavaScript React", 0, 0, 0, -14, 0, -3, -17
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Menu\Menu.css", "CSS", 0, 0, -24, 0, -1, -4, -29
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Menu\Menu.jsx", "JavaScript React", 0, 0, 0, -10, -1, -3, -14
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Menu\MenuElements\MenuElements.jsx", "JavaScript React", 0, 0, 0, -10, 0, -4, -14
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Register\BeautifulRegister.css", "CSS", 0, 0, -107, 0, -2, -13, -122
"g:\React\React Cwiczenia\reactcwiczenia\src\Main\Register\BeautifulRegister.jsx", "JavaScript React", 0, 0, 0, -65, -1, -6, -72
"g:\React\React Cwiczenia\reactcwiczenia\src\context\SettingsContextProvider.jsx", "JavaScript React", 0, 0, 0, -28, 0, -4, -32
"g:\React\React Cwiczenia\reactcwiczenia\src\context\UserContextProvider.jsx", "JavaScript React", 0, 0, 0, -65, 0, -5, -70
"g:\React\React Cwiczenia\reactcwiczenia\src\index.css", "CSS", 0, 0, -13, 0, -7, -3, -23
"g:\React\React Cwiczenia\reactcwiczenia\src\index.js", "JavaScript", -59, 0, 0, 0, -3, -2, -64
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Cards.jsx", "JavaScript React", 0, 0, 0, -65, 0, -4, -69
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Help.jsx", "JavaScript React", 0, 0, 0, -24, 0, -3, -27
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Landing.jsx", "JavaScript React", 0, 0, 0, -29, -5, -3, -37
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Login.jsx", "JavaScript React", 0, 0, 0, -66, 0, -7, -73
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Menu.jsx", "JavaScript React", 0, 0, 0, -183, 0, -11, -194
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\ProtectedRoutes.jsx", "JavaScript React", 0, 0, 0, -11, 0, -4, -15
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Quote.jsx", "JavaScript React", 0, 0, 0, -94, 0, -9, -103
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Register.jsx", "JavaScript React", 0, 0, 0, -81, -1, -8, -90
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Settings.jsx", "JavaScript React", 0, 0, 0, -61, 0, -6, -67
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\Transfers.jsx", "JavaScript React", 0, 0, 0, -91, 0, -7, -98
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\UserProducts.jsx", "JavaScript React", 0, 0, 0, -23, 0, -2, -25
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\styles\cards.css", "CSS", 0, 0, -14, 0, -1, -2, -17
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\styles\landing.css", "CSS", 0, 0, -4, 0, 0, -1, -5
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\styles\login.css", "CSS", 0, 0, -29, 0, 0, -8, -37
"g:\React\React Cwiczenia\reactcwiczenia\src\routes\styles\menu.css", "CSS", 0, 0, -61, 0, 0, -11, -72
"Total", "-", 330, 1304, -441, -991, -46, -123, 33
